unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,affil,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,locale,openpubl,"act",newid,"deathyr","closedat",cyactive,stat_fa,pseflag,pset4flg,lock_fa,"date_fa",stat_ic,stat_c,prch_c,idx_c,imp_c,lock_sp,stat_sp,stat_ef,prch_ef,idx_ef,imp_ef,pta99_ef,ptacipef,ptb_ef,ptc_ef,ptd_ef,form_f,stat_f,prch_f,idx_f,imp_f,"fybeg","fyend",gpfs,f1gasbcr,f1gasbal,stat_sfa,prch_sfa,idx_sfa,stat_gr,prch_gr,idx_gr,cohrtstu,cohrtyr1,pyaid,cohrtaid,sport1,sport2,sport3,sport4,sport5,transver,longpgm,cohrtmt,cindon,cinson,cotson,cindoff,cinsoff,cotsoff,cindfam,cinsfam,cotsfam,fte,ocrhsi,ocrmsi
100636,"COMMUNITY COLLEGE OF THE AIR FORCE","130 W MAXWELL BLVD","MONTGOMERY","AL","361126613",1,0,"JAMES M MCBRIDE","PRESIDENT COLONEL","3349536436","3349536436","3349536436","-1","159131184","01230800",3,"www.au.af.mil/au/ccaf/",4,2,1,1,3,1,2,2,40,1,16,1,3,6,2,2,2,2,40,2,2,"A",-2,"-2","-2",1,1,2,5,81,"110300",1,1,-2,-2,-2,81,2,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",2,-1,4,5,-2,-2,1,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,,,,,,,126963,-2,-2
100654,"ALABAMA A & M UNIVERSITY","4107 MERIDIAN ST","NORMAL","AL","35762",1,5,"JOHN T GIBSON","PRESIDENT","2568515000","2568515400","2568515245","636001109","625116116","00100200",1,"WWW.AAMU.EDU",1,1,1,1,9,1,1,2,10,1,84,0,0,0,1,2,2,2,16,4,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,2,2,-2,-2,-2,1,5,1,1,1,1,1,-2,-2,-2,"101999","092000",3,2,3,1,-2,-2,1,-2,-2,1,-2,1,1,1,1,1,1,1,3,2,1,10964,10964,11500,12964,12964,13500,6064,6064,6600,4886,0,1
100663,"UNIVERSITY OF ALABAMA AT BIRMINGHAM","ADMINISTRATION BLDG SUITE 1070","BIRMINGHAM","AL","352940110",1,5,"W ANN REYNOLDS","PRESIDENT","2059344011","2059348223","2059348221","636005396","136605482","00105200",1,"www.uab.edu",1,1,1,1,9,1,1,1,11,1,24,0,3,1,2,1,1,2,15,1,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,5,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,1,1,1,1,1,3,2,1,13172,13172,15992,15513,15513,18333,7638,7638,10458,12178,0,0
100690,"SOUTHERN CHRISTIAN UNIVERSITY","1200 TAYLOR RD","MONTGOMERY","AL","361173553",1,5,"REX TURNER JR","PRESIDENT","3343873877100","3343873877","3343873877","237034324","126307792","02503400",1,"www.southernchristian.edu",2,1,2,4,9,1,1,1,11,1,-1,-1,-1,-1,2,2,2,2,51,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111600",1,1,-2,-2,-2,81,2,2,-2,-2,1,4,-2,5,-2,1,2,1,-2,-2,-2,"071999","062000",1,-2,-2,-2,-2,-2,1,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,175,-1,-1
100706,"UNIVERSITY OF ALABAMA IN HUNTSVILLE","301 SPARKMAN DR","HUNTSVILLE","AL","35899",1,5,"FRANK A FRANZ","PRESIDENT","2568246120","2568246241","2568246070","630520830","127541050","00105500",1,"www.uah.edu",1,1,1,1,9,1,1,2,10,1,13,2,4,2,2,2,2,2,16,4,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,1,1,3,2,1,10232,10232,13636,11727,11727,15131,6082,6082,9486,4795,0,0
100724,"ALABAMA STATE UNIVERSITY","915 S JACKSON ST","MONTGOMERY","AL","361010271",1,5,"Roosevelt Steptoe","ACTING PRESIDENT","3342294100","3342294324","3342294291","636001101","040672685","00100500",1,"www.alasu.edu",1,1,1,1,8,1,1,2,20,1,89,0,0,0,1,2,2,2,21,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,1,1,1,1,1,3,1,1,9130,9130,11650,11765,11765,14285,6140,6140,8660,4359,0,1
100733,"UNIVERSITY OF ALABAMA SYSTEM OFFICE","401 QUEEN CITY AVE","TUSCALOOSA","AL","35401",1,5,"THOMAS C MEREDITH","CHANCELLOR","2053485121","2053485121","2053485121","-1","-1","001055A1",2,"www.uasystem.ua.edu",0,1,1,1,9,1,1,1,11,1,-2,-2,-2,-2,2,2,-2,2,-3,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111700",1,-2,-2,-2,-2,81,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,"101999","092000",1,1,4,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100751,"UNIVERSITY OF ALABAMA","PO BOX 870166","TUSCALOOSA","AL","354870166",1,5,"ANDREW A SORENSEN","PRESIDENT","2053486010","2053486756","2053485666","636001138","045632635","00105100",1,"www.ua.edu",1,1,1,1,9,1,1,1,11,1,13,1,1,1,2,2,2,2,15,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,"101999","092000",1,2,1,1,-2,-2,1,-2,-2,1,-2,1,1,1,1,1,1,1,3,2,1,11422,11422,16570,11906,11906,17054,9642,9642,14790,17453,0,0
100760,"CENTRAL ALABAMA COMMUNITY COLLEGE","1675 CHEROKEE RD","ALEXANDER CITY","AL","35010",1,5,"JAMES CORNELL","PRESIDENT","2562346346","25623463464251","25623463464255","631022757","874447246","00100700",1,"www.cacc.cc.al.us",4,2,1,1,3,1,2,2,40,1,21,1,0,0,2,2,2,2,40,6,1,"A",-2,"-2","-2",1,1,1,1,81,"111600",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,0,1,0,1,3,2,1,,,,7849,7849,9409,3333,3333,4893,1161,0,0
100788,"AMERICAN REAL ESTATE INSTITUTE INC","PO BOX 42","MONTGOMERY","AL","361010042",1,5,"LORREN L PERDUE","PRESIDENT","2052622701","-1","2052622701","419180995","-1","-2",6,"-1",9,3,3,2,1,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100797,"ANNISTON ACADEMY OF HAIR DESIGN","702 NOBLE ST","ANNISTON","AL","36201",1,5,"PAULINE GOODWIN","PRESIDENT","2562379574","-1","-1","630652182","-1","-2",6,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100812,"ATHENS STATE UNIVERSITY","300 N BEATY ST","ATHENS","AL","35611",1,5,"JERRY BARTLETT","PRESIDENT","2562338100","2562338122","2562338220","630701340","040651853","00100800",1,"www.athens.edu",1,1,1,1,5,1,2,2,30,1,12,2,1,0,2,2,2,2,32,4,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,5,-2,1,1,1,-2,-2,-2,"101999","092000",1,1,1,-2,-2,-2,1,-2,-2,3,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,1716,0,0
100830,"AUBURN UNIVERSITY-MONTGOMERY","PO BOX 244023","MONTGOMERY","AL","361244023",1,5,"GUIN A. NANCE","CHANCELLOR","3342443000","3342443571","3342443611","636000724","183862119","00831000",1,"www.aum.edu",1,1,1,1,9,1,1,2,10,1,32,0,2,1,2,2,2,2,21,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,"101999","092000",1,1,-1,1,-2,-2,1,-2,-2,2,1995,1,2,-2,-2,-2,-2,-2,,,1,10310,10310,16310,10310,10310,16310,5600,5600,11600,3677,0,0
100858,"AUBURN UNIVERSITY MAIN CAMPUS","","AUBURN UNIVERSITY","AL","36849",1,5,"William F. Walker","INTERIM PRESIDENT","3348444000","3348444723","3348444080","636000724","066470972","00100900",1,"www.auburn.edu",1,1,1,1,9,1,1,1,11,1,7,0,1,1,2,1,1,2,15,9,1,"A",-2,"-2","-2",1,1,1,1,81,"111000",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,1,1,1,1,1,1,1,1,10760,10760,16860,11673,11673,17773,5496,5496,11596,19703,0,0
100885,"BAPTIST MEDICAL CENTER","2105 E SOUTH BLVD","MONTGOMERY","AL","36116",1,5,"C BRUCE LAWRENCE","SR VICE PRESIDENT","3342882100","-1","3342862860","-1","-1","-2",6,"-1",2,1,2,4,6,1,1,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,2,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100900,"BEN PORTER REAL ESTATE SCHOOL","3409 S MEMORIAL PKY","HUNTSVILLE","AL","35801",1,5,"KENNETH R GREENWOOD","INSTRUCTOR","2058819676","-1","-1","630865852","-1","-2",6,"-1",9,3,3,2,1,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100919,"BESSEMER STATE TECHNICAL COLLEGE","1100 9TH AVE SW","BESSEMER","AL","35022",1,5,"W MICHAEL BAILEY","PRESIDENT","20542863910","2054286391357","2054286391332","630496701","797414224","00570400",1,"www.BessemerTech.com",4,2,1,1,3,1,2,2,40,1,40,0,0,0,2,2,2,2,40,3,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,2,2,-2,-2,-2,-2,-2,3,2,1,,,,10130,10130,11467,4676,4676,6013,794,0,0
100928,"BIRMINGHAM SCHOOL OF LAW","823 FRANK NELSON BLDG 205 N 20TH","BIRMINGHAM","AL","35203",1,5,"DONNA MADISON","ASSISTANT DEAN","2053226122","-1","2053226122","-1","-1","-2",6,"-1",3,1,3,2,-2,2,2,1,1,1,-1,-1,-1,-1,2,2,-1,2,-3,1,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
100937,"BIRMINGHAM SOUTHERN COLLEGE","900 Arkadelphia Road","Birmingham","AL","35254",1,5,"NEAL R BERTE","PRESIDENT","2052264600","2052264688","2052264696","630708730","067136580","00101200",1,"www.bsc.edu",2,1,2,4,7,1,1,2,20,1,11,1,3,0,2,2,2,2,31,1,1,"A",-2,"-2","-2",1,1,1,1,81,"110600",1,1,-2,-2,-2,81,2,2,-2,-2,-2,1,5,1,1,1,2,1,-2,-2,-2,"061999","052000",1,-2,-2,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,1,1,2,1,22521,22521,22521,22521,22521,22521,16869,16869,16869,1416,0,0
100973,"SHELTON STATE COMMUNITY COLLEGE-C A FREDD CAMPUS","3401 MARTIN LUTHER KING BLVD","TUSCALOOSA","AL","35401",1,5,"Rick Rogers","PRESIDENT","2053912328","2053912211","2053912211","-1","184568566","00569101",1,"www.shelton.cc.al.us",4,2,1,1,4,1,2,2,40,1,36,0,1,2,1,2,-2,2,-3,-3,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,2,102067,-2,81,1,1,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,2,2,-2,-2,-2,-2,-2,2,2,1,,,,7810,7810,9250,5010,5010,6450,113,0,0
101000,"CENTER POINT BEAUTY SCHOOL","2328 FIRST ST NE","BIRMINGHAM","AL","35215",1,5,"NELIA HUNT","INSTRUCTOR","2058530085","-1","-1","-1","-1","-2",6,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,1,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
101019,"CHARLES ACADEMY OF BEAUTY CULTURE","2986 ESLAVA CREEK PKY","MOBILE","AL","36606",1,5,"CHARLES PRINE","DIRECTOR PRESIDENT","3344785510","3344786401","3344786401","630807404","-1","02319500",5,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
101028,"CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","2602 COLLEGE DR","PHENIX CITY","AL","36869",1,5,"RICHARD FEDERINKO","PRESIDENT","3342914900","3342914915","3342914929","630657380","079365656","01218200",1,"www.cvcc.cc.al.us",4,2,1,1,3,1,2,2,40,1,34,0,1,3,2,2,2,2,40,4,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,0,1,0,1,2,2,1,,,,11480,11480,12728,4280,4280,5528,1106,0,0
101073,"CONCORDIA COLLEGE","1804 GREEN ST","SELMA","AL","36701",1,5,"JULIUS JENKINS","PRESIDENT","3348745700","3348747143","3348747143","630389941","082053802","01055400",1,"-1",2,1,2,4,5,1,2,2,30,1,89,0,0,0,1,2,2,2,33,6,1,"A",-2,"-2","-2",1,1,1,1,81,"110600",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,1,1,1,1,2,1,-2,-2,-2,"071999","062000",1,-2,-2,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,0,2,2,1,,,,,,,6638,6638,6638,470,0,1
